"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Casa Grande","Arizona",FALSE,"Casa Grande, Arizona",32.8772834,-111.7536818,73225,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Castle Rock","Colorado",FALSE,"Castle Rock, Colorado",39.3722552,-104.858682,85729,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",FALSE
"Cedar Park","Texas",FALSE,"Cedar Park, Texas",30.5217116,-97.827833,71892,"State UCR","Open Source","https://txucr.nibrs.com/SRSReport/CrimeTrends",TRUE
"Cedar Rapids","Iowa",FALSE,"Cedar Rapids, Iowa",41.9758872,-91.6704053,137918,"Crime Data Explorer","Provided by Agency","From IA",TRUE
"Centennial","Colorado",FALSE,"Centennial, Colorado",39.579155,-104.8769227,109020,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Champaign","Illinois",FALSE,"Champaign, Illinois",40.1164841,-88.2430932,92875,"State UCR","Open Source","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",TRUE
"Chandler","Arizona",FALSE,"Chandler, Arizona",33.3062031,-111.841185,282191,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Chapel Hill","North Carolina",FALSE,"Chapel Hill, North Carolina",35.9131542,-79.05578,62990,"State UCR","Provided by State UCR Program","From NC",TRUE
"Charleston","South Carolina",FALSE,"Charleston, South Carolina",32.7884363,-79.9399309,142716,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Charlotte","North Carolina",FALSE,"Charlotte, North Carolina",35.2272086,-80.8430827,1035037,"State UCR","Provided by State UCR Program","From NC",TRUE
"Chattanooga","Tennessee",FALSE,"Chattanooga, Tennessee",35.0457219,-85.3094883,193881,"Crime Data Explorer","Open Source","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",TRUE
"Cherry Hill Township","New Jersey",FALSE,"Cherry Hill Township, New Jersey",39.9348351,-75.0307264,80020,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Chesapeake","Virginia",FALSE,"Chesapeake, Virginia",36.7168315,-76.2494453,257012,"Crime Data Explorer","Provided by State UCR Program","https://vsp.virginia.gov/",TRUE
"Chesterfield County","Virginia",TRUE,"Chesterfield County, Virginia",37.3859982,-77.578509,397206,"State UCR","Provided by State UCR Program","From VA",FALSE
"Cheyenne","Wyoming",FALSE,"Cheyenne, Wyoming",41.139981,-104.820246,65811,"State UCR","Open Source","https://crimestats.wyo.gov/public/View/dispview.aspx",TRUE
